4 	 1 	 1  	 0.798508 	  	 0.362423 	 	 0 	 	 0 
4 	 1 	 2  	 0.798508 	  	 0.362423 	 	 0.362423 	 	 0 
4 	 1 	 3  	 0.798508 	  	 0.362423 	 	 0.362423 	 	 0 
4 	 1 	 4  	 0.798508 	  	 0.362423 	 	 0.362423 	 	 0 
4 	 1 	 5  	 0.798508 	  	 0.362423 	 	 0.362423 	 	 0 
4 	 1 	 6  	 0.798508 	  	 0.362423 	 	 0.362423 	 	 0 
4 	 1 	 7  	 0.798508 	  	 0.362423 	 	 0.362423 	 	 0 
4 	 1 	 8  	 0.798508 	  	 0.795041 	 	 0.362423 	 	 0 
4 	 1 	 9  	 0.798508 	  	 0.795041 	 	 0.795041 	 	 0 
4 	 1 	 10  	 0.798508 	  	 0.795041 	 	 0.795041 	 	 0 
4 	 1 	 11  	 0.798508 	  	 0.795041 	 	 0.795041 	 	 0 
4 	 1 	 12  	 0.798508 	  	 0.795041 	 	 0.795041 	 	 0 
4 	 1 	 13  	 0.798508 	  	 0.795041 	 	 0.795041 	 	 0 
4 	 1 	 14  	 0.798508 	  	 0.795041 	 	 0.795041 	 	 0 
4 	 1 	 15  	 0.798508 	  	 0.798508 	 	 0.795041 	 	 0 
4 	 1 	 16  	 0.798508 	  	 0.798508 	 	 0.798508 	 	 0 
4 	 1 	 17  	 0.798508 	  	 0.798508 	 	 0.798508 	 	 0 
4 	 1 	 18  	 0.798508 	  	 0.798508 	 	 0.798508 	 	 0 
4 	 1 	 19  	 0.798508 	  	 0.798508 	 	 0.798508 	 	 0 
4 	 1 	 20  	 0.798508 	  	 0.798508 	 	 0.798508 	 	 0 
4 	 1 	 21  	 0.798508 	  	 0.798508 	 	 0.798508 	 	 0 
4 	 1 	 22  	 0.798508 	  	 0.798508 	 	 0.798508 	 	 0 
4 	 1 	 23  	 0.798508 	  	 0.798508 	 	 0.798508 	 	 0 
4 	 1 	 24  	 0.798508 	  	 0.798508 	 	 0.798508 	 	 0 
4 	 1 	 25  	 0.798508 	  	 0.798508 	 	 0.798508 	 	 0 
4 	 1 	 26  	 0.798508 	  	 0.798508 	 	 0.798508 	 	 0 
4 	 1 	 27  	 0.798508 	  	 0.798508 	 	 0.798508 	 	 0 
4 	 1 	 28  	 0.798508 	  	 0.798508 	 	 0.798508 	 	 0 
4 	 1 	 29  	 0.798508 	  	 0.798508 	 	 0.798508 	 	 0 
4 	 1 	 30  	 0.798508 	  	 0.798508 	 	 0.798508 	 	 0 
4 	 1 	 31  	 0.798508 	  	 0.798508 	 	 0.798508 	 	 0 
4 	 1 	 32  	 0.798508 	  	 0.798508 	 	 0.798508 	 	 0 
4 	 1 	 33  	 0.798508 	  	 0.798508 	 	 0.798508 	 	 0 
4 	 1 	 34  	 0.798508 	  	 0.798508 	 	 0.798508 	 	 0 
4 	 1 	 35  	 0.798508 	  	 0.798508 	 	 0.798508 	 	 0 
