1 	 1 	 5 	 1.46614 	 0 
1 	 2 	 5 	 1.46614 	 0 
1 	 3 	 5 	 1.46614 	 0 
1 	 4 	 5 	 1.46614 	 0 
1 	 5 	 5 	 1.46614 	 0 
1 	 6 	 5 	 1.46614 	 0 
1 	 7 	 5 	 1.46614 	 0 
1 	 8 	 5 	 31.5216 	 0 
1 	 9 	 5 	 31.5216 	 0 
1 	 10 	 5 	 31.5216 	 0 
1 	 11 	 5 	 31.5216 	 0 
1 	 12 	 5 	 31.5216 	 0 
1 	 13 	 5 	 31.5216 	 0 
1 	 14 	 5 	 31.5216 	 0 
1 	 15 	 5 	 32.4568 	 0 
1 	 16 	 5 	 32.4568 	 0 
1 	 17 	 5 	 32.4568 	 0 
1 	 18 	 5 	 32.4568 	 0 
1 	 19 	 5 	 32.4568 	 0 
1 	 20 	 5 	 32.4568 	 0 
1 	 21 	 5 	 32.4568 	 0 
1 	 22 	 5 	 32.4568 	 0 
1 	 23 	 5 	 32.4568 	 0 
1 	 24 	 5 	 32.4568 	 0 
1 	 25 	 5 	 32.4568 	 0 
1 	 26 	 5 	 32.4568 	 0 
1 	 27 	 5 	 32.4568 	 0 
1 	 28 	 5 	 32.4568 	 0 
1 	 29 	 5 	 32.4568 	 0 
1 	 30 	 5 	 32.4568 	 0 
1 	 31 	 5 	 32.4568 	 0 
1 	 32 	 5 	 32.4568 	 0 
1 	 33 	 5 	 32.4568 	 0 
1 	 34 	 5 	 32.4568 	 0 
1 	 35 	 5 	 32.4568 	 0 
1 	 36 	 5 	 32.4568 	 0 
1 	 37 	 5 	 32.4568 	 0 
1 	 38 	 5 	 32.4568 	 0 
1 	 39 	 5 	 32.4568 	 0 
1 	 40 	 5 	 32.4568 	 0 
1 	 41 	 5 	 32.4568 	 0 
1 	 42 	 5 	 32.4568 	 0 
1 	 43 	 5  	 32.4568 	 0
1 	 44 	 5  	 32.4568 	 0
1 	 45 	 5  	 32.4568 	 0
1 	 46 	 5  	 32.4568 	 0
1 	 47 	 5  	 32.4568 	 0
1 	 48 	 5  	 32.4568 	 0
1 	 49 	 5  	 32.4568 	 0
1 	 50 	 5  	 32.4568 	 0
1 	 51 	 5  	 32.4568 	 0
1 	 52 	 5  	 32.4568 	 0
1 	 53 	 5  	 32.4568 	 0
1 	 54 	 5  	 32.4568 	 0
1 	 55 	 5  	 32.4568 	 0
1 	 56 	 5  	 32.4568 	 0
1 	 57 	 5  	 32.4568 	 0
1 	 58 	 5  	 32.4568 	 0
1 	 59 	 5  	 32.4568 	 0
1 	 60 	 5  	 32.4568 	 0
1 	 61 	 5  	 32.4568 	 0
1 	 62 	 5  	 32.4568 	 0
1 	 63 	 5  	 32.4568 	 0
1 	 64 	 5  	 32.4568 	 0
1 	 65 	 5  	 32.4568 	 0
1 	 66 	 5  	 32.4568 	 0
1 	 67 	 5  	 32.4568 	 0
1 	 68 	 5  	 32.4568 	 0
1 	 69 	 5  	 32.4568 	 0
1 	 70 	 5  	 32.4568 	 0
1 	 71 	 5  	 32.4568 	 0
1 	 72 	 5  	 32.4568 	 0
1 	 73 	 5  	 32.4568 	 0
1 	 74 	 5  	 32.4568 	 0
1 	 75 	 5  	 32.4568 	 0
1 	 76 	 5  	 32.4568 	 0
1 	 77 	 5  	 32.4568 	 0
1 	 78 	 5  	 32.4568 	 0
1 	 79 	 5  	 32.4568 	 0
1 	 80 	 5  	 32.4568 	 0
1 	 81 	 5  	 32.4568 	 0
1 	 82 	 5  	 32.4568 	 0
1 	 83 	 5  	 32.4568 	 0
1 	 84 	 5  	 32.4568 	 0
1 	 85 	 5  	 32.4568 	 0
1 	 86 	 5  	 32.4568 	 0
1 	 87 	 5  	 32.4568 	 0
1 	 88 	 5  	 32.4568 	 0
1 	 89 	 5  	 32.4568 	 0
1 	 90 	 5  	 32.4568 	 0
1 	 91 	 5  	 32.4568 	 0
1 	 92 	 5  	 32.4568 	 0
1 	 93 	 5  	 32.4568 	 0
1 	 94 	 5  	 32.4568 	 0
1 	 95 	 5  	 32.4568 	 0
1 	 96 	 5  	 32.4568 	 0
1 	 97 	 5  	 32.4568 	 0
1 	 98 	 5  	 32.4568 	 0
1 	 99 	 5  	 32.4568 	 0
1 	 100 	 5  	 32.4568 	 0
1 	 101 	 5  	 32.4568 	 0
1 	 102 	 5  	 32.4568 	 0
1 	 103 	 5  	 32.4568 	 0
1 	 104 	 5  	 32.4568 	 0
1 	 105 	 5  	 32.4568 	 0
1 	 106 	 5  	 32.4568 	 0
1 	 107 	 5  	 32.4568 	 0
1 	 108 	 5  	 32.4568 	 0
1 	 109 	 5  	 32.4568 	 0
1 	 110 	 5  	 32.4568 	 0
1 	 111 	 5  	 32.4568 	 0
1 	 112 	 5  	 32.4568 	 0
1 	 113 	 5  	 32.4568 	 0
1 	 114 	 5  	 32.4568 	 0
1 	 115 	 5  	 32.4568 	 0
1 	 116 	 5  	 32.4568 	 0
1 	 117 	 5  	 32.4568 	 0
1 	 118 	 5  	 32.4568 	 0
1 	 119 	 5  	 32.4568 	 0
1 	 120 	 5  	 32.4568 	 0
1 	 121 	 5  	 32.4568 	 0
1 	 122 	 5  	 32.4568 	 0
1 	 123 	 5  	 32.4568 	 0
1 	 124 	 5  	 32.4568 	 0
1 	 125 	 5  	 32.4568 	 0
1 	 126 	 5  	 32.4568 	 0
1 	 127 	 5  	 32.4568 	 0
1 	 128 	 5  	 32.4568 	 0
1 	 129 	 5  	 32.4568 	 0
1 	 130 	 5  	 32.4568 	 0
1 	 131 	 5  	 32.4568 	 0
1 	 132 	 5  	 32.4568 	 0
1 	 133 	 5  	 32.4568 	 0
1 	 134 	 5  	 32.4568 	 0
1 	 135 	 5  	 32.4568 	 0
1 	 136 	 5  	 32.4568 	 0
1 	 137 	 5  	 32.4568 	 0
1 	 138 	 5  	 32.4568 	 0
1 	 139 	 5  	 32.4568 	 0
1 	 140 	 5  	 32.4568 	 0
1 	 141 	 5  	 32.4568 	 0
1 	 142 	 5  	 32.4568 	 0
1 	 143 	 5  	 32.4568 	 0
1 	 144 	 5  	 32.4568 	 0
1 	 145 	 5  	 32.4568 	 0
