3 	 4 	 1  	 0.0238541 	  	 0 	 	 0 	 	 0 
3 	 4 	 2  	 0.0238541 	  	 0 	 	 0 	 	 0 
3 	 4 	 3  	 0.0238541 	  	 0 	 	 0 	 	 0 
3 	 4 	 4  	 0.0238541 	  	 0.011927 	 	 0 	 	 0 
3 	 4 	 5  	 0.0238541 	  	 0.011927 	 	 0.011927 	 	 0 
3 	 4 	 6  	 0.0238541 	  	 0.011927 	 	 0.011927 	 	 0 
3 	 4 	 7  	 0.0238541 	  	 0.011927 	 	 0.011927 	 	 0 
3 	 4 	 8  	 0.0238541 	  	 0.011927 	 	 0.011927 	 	 0 
3 	 4 	 9  	 0.0238541 	  	 0.011927 	 	 0.011927 	 	 0 
3 	 4 	 10  	 0.0238541 	  	 0.011927 	 	 0.011927 	 	 0 
3 	 4 	 11  	 0.0238541 	  	 0.0238541 	 	 0.011927 	 	 0 
3 	 4 	 12  	 0.0238541 	  	 0.0238541 	 	 0.0238541 	 	 0 
3 	 4 	 13  	 0.0238541 	  	 0.0238541 	 	 0.0238541 	 	 0 
3 	 4 	 14  	 0.0238541 	  	 0.0238541 	 	 0.0238541 	 	 0 
3 	 4 	 15  	 0.0238541 	  	 0.0238541 	 	 0.0238541 	 	 0 
3 	 4 	 16  	 0.0238541 	  	 0.0238541 	 	 0.0238541 	 	 0 
3 	 4 	 17  	 0.0238541 	  	 0.0238541 	 	 0.0238541 	 	 0 
3 	 4 	 18  	 0.0238541 	  	 0.0238541 	 	 0.0238541 	 	 0 
3 	 4 	 19  	 0.0238541 	  	 0.0238541 	 	 0.0238541 	 	 0 
3 	 4 	 20  	 0.0238541 	  	 0.0238541 	 	 0.0238541 	 	 0 
3 	 4 	 21  	 0.0238541 	  	 0.0238541 	 	 0.0238541 	 	 0 
3 	 4 	 22  	 0.0238541 	  	 0.0238541 	 	 0.0238541 	 	 0 
3 	 4 	 23  	 0.0238541 	  	 0.0238541 	 	 0.0238541 	 	 0 
3 	 4 	 24  	 0.0238541 	  	 0.0238541 	 	 0.0238541 	 	 0 
3 	 4 	 25  	 0.0238541 	  	 0.0238541 	 	 0.0238541 	 	 0 
3 	 4 	 26  	 0.0238541 	  	 0.0238541 	 	 0.0238541 	 	 0 
3 	 4 	 27  	 0.0238541 	  	 0.0238541 	 	 0.0238541 	 	 0 
3 	 4 	 28  	 0.0238541 	  	 0.0238541 	 	 0.0238541 	 	 0 
